deltaV,tof,t_depot,t_client,x_ser,y_ser,z_ser,x_cl,y_cl,z_cl
280071,100,0,100,5.63576e+06,4.2052e+06,915068,7.03839e+06,450774,598197
136984,200,0,200,5.63576e+06,4.2052e+06,915068,6.91961e+06,896485,1.18968e+06
88946.1,300,0,300,5.63576e+06,4.2052e+06,915068,6.72312e+06,1.33213e+06,1.7678e+06
64881,400,0,400,5.63576e+06,4.2052e+06,915068,6.45113e+06,1.75281e+06,2.32606e+06
50546.6,500,0,500,5.63576e+06,4.2052e+06,915068,6.1067e+06,2.15381e+06,2.85821e+06
41209.5,600,0,600,5.63576e+06,4.2052e+06,915068,5.69369e+06,2.53063e+06,3.35826e+06
34870.5,700,0,700,5.63576e+06,4.2052e+06,915068,5.21673e+06,2.87902e+06,3.82059e+06
30559.2,800,0,800,5.63576e+06,4.2052e+06,915068,4.6812e+06,3.19509e+06,4.24002e+06
10780.3,900,0,900,5.63576e+06,4.2052e+06,915068,4.0931e+06,3.47527e+06,4.61184e+06
9777.01,1000,0,1000,5.63576e+06,4.2052e+06,915068,3.45903e+06,3.71643e+06,4.93187e+06
8949.42,1100,0,1100,5.63576e+06,4.2052e+06,915068,2.78612e+06,3.91585e+06,5.19651e+06
8254.51,1200,0,1200,5.63576e+06,4.2052e+06,915068,2.08192e+06,4.0713e+06,5.40279e+06
7664.08,1300,0,1300,5.63576e+06,4.2052e+06,915068,1.35434e+06,4.18103e+06,5.54841e+06
7159.7,1400,0,1400,5.63576e+06,4.2052e+06,915068,611547,4.2438e+06,5.63171e+06
6729.71,1500,0,1500,5.63576e+06,4.2052e+06,915068,-138109,4.25892e+06,5.65178e+06
6367.61,1600,0,1600,5.63576e+06,4.2052e+06,915068,-886215,4.22621e+06,5.60837e+06
6070.88,1700,0,1700,5.63576e+06,4.2052e+06,915068,-1.62437e+06,4.14604e+06,5.50198e+06
5840.28,1800,0,1800,5.63576e+06,4.2052e+06,915068,-2.34428e+06,4.01931e+06,5.33381e+06
